"COMMUNITY_1","COMMUNITY2","DIFFERENCE"
"Assistant Professor","Assistant Professor","100.0"
"Assistant Professor","Associate Professor","83.0"
"Assistant Professor","Lecturer","100.0"
"Assistant Professor","PhD Student","64.0"
"Assistant Professor","Postdoctoral Researcher","73.0"
"Assistant Professor","Professor","71.0"
"Assistant Professor","Programmer","63.0"
"Assistant Professor","Research Assistant","64.0"
"Assistant Professor","Research Engineer","63.0"
"Assistant Professor","Senior Lecturer","83.0"
"Assistant Professor","Senior Researcher","74.0"
"Associate Professor","Assistant Professor","Nan"
"Associate Professor","Associate Professor","100.0"
"Associate Professor","Lecturer","83.0"
"Associate Professor","PhD Student","68.0"
"Associate Professor","Postdoctoral Researcher","69.0"
"Associate Professor","Professor","72.5"
"Associate Professor","Programmer","60.5"
"Associate Professor","Research Assistant","68.0"
"Associate Professor","Research Engineer","60.5"
"Associate Professor","Senior Lecturer","100.0"
"Associate Professor","Senior Researcher","65.5"
"Lecturer","Assistant Professor","Nan"
"Lecturer","Associate Professor","Nan"
"Lecturer","Lecturer","100.0"
"Lecturer","PhD Student","64.0"
"Lecturer","Postdoctoral Researcher","73.0"
"Lecturer","Professor","71.0"
"Lecturer","Programmer","63.0"
"Lecturer","Research Assistant","64.0"
"Lecturer","Research Engineer","63.0"
"Lecturer","Senior Lecturer","83.0"
"Lecturer","Senior Researcher","74.0"
"PhD Student","Assistant Professor","Nan"
"PhD Student","Associate Professor","Nan"
"PhD Student","Lecturer","Nan"
"PhD Student","PhD Student","100.0"
"PhD Student","Postdoctoral Researcher","60.5"
"PhD Student","Professor","57.5"
"PhD Student","Programmer","51.5"
"PhD Student","Research Assistant","100.0"
"PhD Student","Research Engineer","51.5"
"PhD Student","Senior Lecturer","68.0"
"PhD Student","Senior Researcher","61.0"
"Postdoctoral Researcher","Assistant Professor","Nan"
"Postdoctoral Researcher","Associate Professor","Nan"
"Postdoctoral Researcher","Lecturer","Nan"
"Postdoctoral Researcher","PhD Student","Nan"
"Postdoctoral Researcher","Postdoctoral Researcher","100.0"
"Postdoctoral Researcher","Professor","53.5"
"Postdoctoral Researcher","Programmer","48.5"
"Postdoctoral Researcher","Research Assistant","60.5"
"Postdoctoral Researcher","Research Engineer","48.5"
"Postdoctoral Researcher","Senior Lecturer","69.0"
"Postdoctoral Researcher","Senior Researcher","70.0"
"Professor","Assistant Professor","Nan"
"Professor","Associate Professor","Nan"
"Professor","Lecturer","Nan"
"Professor","PhD Student","Nan"
"Professor","Postdoctoral Researcher","Nan"
"Professor","Professor","100.0"
"Professor","Programmer","58.0"
"Professor","Research Assistant","57.5"
"Professor","Research Engineer","58.0"
"Professor","Senior Lecturer","72.5"
"Professor","Senior Researcher","62.5"
"Programmer","Assistant Professor","Nan"
"Programmer","Associate Professor","Nan"
"Programmer","Lecturer","Nan"
"Programmer","PhD Student","Nan"
"Programmer","Postdoctoral Researcher","Nan"
"Programmer","Professor","Nan"
"Programmer","Programmer","100.0"
"Programmer","Research Assistant","51.5"
"Programmer","Research Engineer","100.0"
"Programmer","Senior Lecturer","60.5"
"Programmer","Senior Researcher","42.5"
"Research Assistant","Assistant Professor","Nan"
"Research Assistant","Associate Professor","Nan"
"Research Assistant","Lecturer","Nan"
"Research Assistant","PhD Student","Nan"
"Research Assistant","Postdoctoral Researcher","Nan"
"Research Assistant","Professor","Nan"
"Research Assistant","Programmer","Nan"
"Research Assistant","Research Assistant","100.0"
"Research Assistant","Research Engineer","51.5"
"Research Assistant","Senior Lecturer","68.0"
"Research Assistant","Senior Researcher","61.0"
"Research Engineer","Assistant Professor","Nan"
"Research Engineer","Associate Professor","Nan"
"Research Engineer","Lecturer","Nan"
"Research Engineer","PhD Student","Nan"
"Research Engineer","Postdoctoral Researcher","Nan"
"Research Engineer","Professor","Nan"
"Research Engineer","Programmer","Nan"
"Research Engineer","Research Assistant","Nan"
"Research Engineer","Research Engineer","100.0"
"Research Engineer","Senior Lecturer","60.5"
"Research Engineer","Senior Researcher","42.5"
"Senior Lecturer","Assistant Professor","Nan"
"Senior Lecturer","Associate Professor","Nan"
"Senior Lecturer","Lecturer","Nan"
"Senior Lecturer","PhD Student","Nan"
"Senior Lecturer","Postdoctoral Researcher","Nan"
"Senior Lecturer","Professor","Nan"
"Senior Lecturer","Programmer","Nan"
"Senior Lecturer","Research Assistant","Nan"
"Senior Lecturer","Research Engineer","Nan"
"Senior Lecturer","Senior Lecturer","100.0"
"Senior Lecturer","Senior Researcher","65.5"
"Senior Researcher","Assistant Professor","Nan"
"Senior Researcher","Associate Professor","Nan"
"Senior Researcher","Lecturer","Nan"
"Senior Researcher","PhD Student","Nan"
"Senior Researcher","Postdoctoral Researcher","Nan"
"Senior Researcher","Professor","Nan"
"Senior Researcher","Programmer","Nan"
"Senior Researcher","Research Assistant","Nan"
"Senior Researcher","Research Engineer","Nan"
"Senior Researcher","Senior Lecturer","Nan"
"Senior Researcher","Senior Researcher","100.0"